plate,phone,email,entry_point,exit_point,entry_time,exit_time,speed_kmph,speed_limit_kmph
TX-ELK6599,+1-682-905-9340,txelk6599@icloud.com,Queens Blvd,Lincoln Tunnel,2025-11-27T15:40:00,2025-11-27T15:56:00,116.45,128.75
NJ-LQP7843,+1-848-502-2116,njlqp7843@icloud.com,Queens Blvd,I-95 Exit 15,2025-11-27T13:54:00,2025-11-27T14:27:00,126.23,96.56
NY-ELU3647,+1-332-640-2929,nyelu3647@gmail.com,Wall Street,I-87 Exit 7A,2025-11-27T08:50:00,2025-11-27T09:46:00,103.37,96.56
NY-KLX7697,+1-516-632-2632,nyklx7697@gmail.com,Queens Blvd,I-95 Exit 15,2025-11-27T21:43:00,2025-11-27T22:06:00,102.27,104.61
FL-JBP9315,+1-954-743-7016,fljbp9315@yahoo.com,Staten Island Ferry,Manhattan Downtown,2025-11-27T13:31:00,2025-11-27T14:02:00,72.94,80.47
CA-YBK4384,+1-559-266-8597,caybk4384@yahoo.com,Lincoln Tunnel,Times Square,2025-11-27T09:40:00,2025-11-27T10:37:00,102.37,120.7
TX-XSB8849,+1-817-569-4334,txxsb8849@outlook.com,Wall Street,I-87 Exit 7A,2025-11-27T18:52:00,2025-11-27T19:37:00,114.76,120.7
IL-BCU9344,+1-773-567-8032,ilbcu9344@icloud.com,Bronx Terminal Market,Queens Blvd,2025-11-27T22:48:00,2025-11-27T23:40:00,102.23,80.47
NJ-YQW9016,+1-908-981-5230,njyqw9016@gmail.com,I-87 Exit 7A,Queens Blvd,2025-11-27T11:53:00,2025-11-27T12:08:00,70.54,80.47
NJ-GBT6515,+1-732-297-4118,njgbt6515@gmail.com,Lincoln Tunnel,George Washington Bridge,2025-11-27T07:37:00,2025-11-27T07:47:00,94.42,112.65
NY-FAO2953,+1-646-316-9215,nyfao2953@outlook.com,Manhattan Downtown,Lincoln Tunnel,2025-11-27T21:45:00,2025-11-27T22:24:00,115.63,120.7
NJ-TOL8511,+1-609-890-6197,njtol8511@outlook.com,I-87 Exit 7A,Staten Island Ferry,2025-11-27T14:10:00,2025-11-27T14:57:00,101.81,80.47
IL-MEK6207,+1-447-898-2986,ilmek6207@gmail.com,Queens Blvd,Times Square,2025-11-27T16:48:00,2025-11-27T16:58:00,114.19,128.75
TX-PHT9453,+1-737-414-6448,txpht9453@outlook.com,I-95 Exit 15,Brooklyn Bridge,2025-11-27T09:29:00,2025-11-27T09:47:00,111.17,120.7
TX-KOC9932,+1-361-263-8331,txkoc9932@yahoo.com,Brooklyn Bridge,Staten Island Ferry,2025-11-27T09:29:00,2025-11-27T10:22:00,81.85,80.47
FL-HPR8955,+1-386-224-9849,flhpr8955@icloud.com,Wall Street,I-87 Exit 7A,2025-11-27T09:43:00,2025-11-27T10:05:00,111.66,104.61
NJ-PMN4220,+1-201-388-2048,njpmn4220@outlook.com,Wall Street,Bronx Terminal Market,2025-11-27T18:12:00,2025-11-27T18:50:00,155.71,128.75
NY-HTO3873,+1-332-340-0431,nyhto3873@yahoo.com,I-87 Exit 7A,Bronx Terminal Market,2025-11-27T21:20:00,2025-11-27T22:01:00,66.87,80.47
FL-UPG1691,+1-386-654-9251,flupg1691@icloud.com,I-95 Exit 15,Times Square,2025-11-27T21:35:00,2025-11-27T21:53:00,127.14,128.75
NY-LGW2671,+1-631-348-0628,nylgw2671@outlook.com,Queens Blvd,Staten Island Ferry,2025-11-27T16:10:00,2025-11-27T16:34:00,107.81,120.7
NY-RXV9186,+1-718-861-3116,nyrxv9186@yahoo.com,Queens Blvd,Lincoln Tunnel,2025-11-27T15:41:00,2025-11-27T15:51:00,93.82,80.47
IL-SAC6489,+1-464-936-8133,ilsac6489@yahoo.com,Wall Street,Bronx Terminal Market,2025-11-27T07:08:00,2025-11-27T08:00:00,123.0,96.56
NY-KUX8884,+1-332-609-2585,nykux8884@icloud.com,Wall Street,Lincoln Tunnel,2025-11-27T16:40:00,2025-11-27T17:25:00,104.03,96.56
CA-ZQN1332,+1-559-269-6652,cazqn1332@yahoo.com,I-87 Exit 7A,Staten Island Ferry,2025-11-27T10:11:00,2025-11-27T10:58:00,88.71,112.65
NJ-HAZ5091,+1-609-941-9273,njhaz5091@gmail.com,Brooklyn Bridge,Lincoln Tunnel,2025-11-27T10:45:00,2025-11-27T11:05:00,117.14,104.61
FL-KHP3287,+1-407-953-1978,flkhp3287@gmail.com,Staten Island Ferry,Queens Blvd,2025-11-27T18:29:00,2025-11-27T19:18:00,83.44,104.61
IL-TTV8602,+1-312-572-8854,ilttv8602@gmail.com,Times Square,Staten Island Ferry,2025-11-27T21:59:00,2025-11-27T22:27:00,114.45,104.61
NY-JLG4853,+1-315-364-5004,nyjlg4853@outlook.com,Queens Blvd,Lincoln Tunnel,2025-11-27T07:41:00,2025-11-27T07:52:00,119.17,104.61
FL-XJX1673,+1-448-589-0306,flxjx1673@icloud.com,Brooklyn Bridge,Manhattan Downtown,2025-11-27T18:01:00,2025-11-27T18:49:00,75.46,96.56
IL-FRW4623,+1-464-640-6322,ilfrw4623@yahoo.com,Wall Street,I-95 Exit 15,2025-11-27T20:11:00,2025-11-27T20:22:00,145.25,128.75
NY-QAU2738,+1-518-811-1134,nyqau2738@outlook.com,Wall Street,Queens Blvd,2025-11-27T18:38:00,2025-11-27T19:35:00,107.37,120.7
CA-ROW3947,+1-510-773-6946,carow3947@yahoo.com,Queens Blvd,George Washington Bridge,2025-11-27T06:57:00,2025-11-27T07:49:00,146.01,128.75
NY-COT7512,+1-516-315-9122,nycot7512@outlook.com,Brooklyn Bridge,George Washington Bridge,2025-11-27T18:26:00,2025-11-27T18:49:00,113.1,112.65
TX-ZAE8142,+1-512-766-0083,txzae8142@icloud.com,I-87 Exit 7A,I-95 Exit 15,2025-11-27T09:39:00,2025-11-27T10:35:00,131.78,120.7
NJ-JXP5256,+1-908-858-9224,njjxp5256@icloud.com,Lincoln Tunnel,Bronx Terminal Market,2025-11-27T19:35:00,2025-11-27T20:20:00,115.51,128.75
NY-ZQS8214,+1-917-633-1632,nyzqs8214@outlook.com,I-95 Exit 15,Queens Blvd,2025-11-27T15:04:00,2025-11-27T15:37:00,158.21,128.75
FL-YTG8966,+1-448-636-1201,flytg8966@yahoo.com,I-87 Exit 7A,Manhattan Downtown,2025-11-27T11:36:00,2025-11-27T12:19:00,88.09,104.61
IL-KHX2621,+1-773-961-4606,ilkhx2621@gmail.com,Manhattan Downtown,I-87 Exit 7A,2025-11-27T06:42:00,2025-11-27T07:04:00,156.57,128.75
FL-LVK8712,+1-904-793-7997,fllvk8712@yahoo.com,Times Square,Brooklyn Bridge,2025-11-27T17:50:00,2025-11-27T18:20:00,61.39,80.47
NJ-JMM2112,+1-640-379-9102,njjmm2112@gmail.com,I-95 Exit 15,George Washington Bridge,2025-11-27T10:49:00,2025-11-27T11:22:00,97.67,112.65
NY-NWQ6453,+1-646-595-0172,nynwq6453@outlook.com,Times Square,I-95 Exit 15,2025-11-27T22:10:00,2025-11-27T22:23:00,127.58,104.61
FL-EZK2742,+1-954-281-2738,flezk2742@gmail.com,Brooklyn Bridge,George Washington Bridge,2025-11-27T06:07:00,2025-11-27T06:22:00,121.06,128.75
NJ-XSO2866,+1-609-867-8573,njxso2866@yahoo.com,Manhattan Downtown,I-95 Exit 15,2025-11-27T19:06:00,2025-11-27T19:47:00,105.27,120.7
NJ-TVP5682,+1-551-766-9620,njtvp5682@gmail.com,Times Square,George Washington Bridge,2025-11-27T11:23:00,2025-11-27T11:48:00,107.98,80.47
IL-STW8711,+1-618-752-6409,ilstw8711@outlook.com,I-87 Exit 7A,Bronx Terminal Market,2025-11-27T20:27:00,2025-11-27T21:19:00,116.72,112.65
TX-UTP3094,+1-726-592-9146,txutp3094@icloud.com,I-87 Exit 7A,Queens Blvd,2025-11-27T08:22:00,2025-11-27T08:53:00,96.54,96.56
FL-QGD7300,+1-941-347-3646,flqgd7300@yahoo.com,Times Square,Lincoln Tunnel,2025-11-27T08:12:00,2025-11-27T09:10:00,132.62,112.65
IL-WKB9529,+1-464-646-9078,ilwkb9529@icloud.com,Bronx Terminal Market,Manhattan Downtown,2025-11-27T18:59:00,2025-11-27T19:24:00,115.99,112.65
IL-BPP8899,+1-618-878-5449,ilbpp8899@yahoo.com,Queens Blvd,George Washington Bridge,2025-11-27T21:55:00,2025-11-27T22:19:00,113.39,128.75
NJ-RWV7442,+1-856-752-3510,njrwv7442@gmail.com,Staten Island Ferry,George Washington Bridge,2025-11-27T13:33:00,2025-11-27T14:31:00,78.92,80.47
NJ-HNR9943,+1-732-671-4704,njhnr9943@icloud.com,George Washington Bridge,Lincoln Tunnel,2025-11-27T06:53:00,2025-11-27T07:35:00,76.06,80.47
NY-NUT8854,+1-631-525-5943,nynut8854@icloud.com,Times Square,I-87 Exit 7A,2025-11-27T19:26:00,2025-11-27T20:20:00,99.38,80.47
TX-MPF4244,+1-682-443-4380,txmpf4244@icloud.com,Brooklyn Bridge,I-87 Exit 7A,2025-11-27T21:25:00,2025-11-27T22:06:00,133.12,128.75
CA-VMS7193,+1-442-286-6343,cavms7193@outlook.com,Staten Island Ferry,Times Square,2025-11-27T17:41:00,2025-11-27T18:30:00,157.21,128.75
NY-IDW5372,+1-838-980-9910,nyidw5372@yahoo.com,I-87 Exit 7A,Queens Blvd,2025-11-27T18:37:00,2025-11-27T19:01:00,152.6,128.75
IL-ZHD3485,+1-847-687-2849,ilzhd3485@yahoo.com,Manhattan Downtown,I-95 Exit 15,2025-11-27T09:38:00,2025-11-27T09:53:00,109.58,112.65
NJ-OVL9099,+1-973-489-8517,njovl9099@icloud.com,Bronx Terminal Market,I-87 Exit 7A,2025-11-27T11:10:00,2025-11-27T12:02:00,84.1,80.47
NJ-MJM1776,+1-908-889-4582,njmjm1776@yahoo.com,George Washington Bridge,Bronx Terminal Market,2025-11-27T14:36:00,2025-11-27T15:23:00,104.87,112.65
NY-ZTB4751,+1-518-583-7119,nyztb4751@gmail.com,Lincoln Tunnel,Bronx Terminal Market,2025-11-27T17:33:00,2025-11-27T18:04:00,83.9,80.47
NJ-VHO2612,+1-551-436-2575,njvho2612@outlook.com,Bronx Terminal Market,Staten Island Ferry,2025-11-27T14:59:00,2025-11-27T15:59:00,127.0,112.65
IL-MMI3879,+1-630-253-1377,ilmmi3879@gmail.com,Staten Island Ferry,Times Square,2025-11-27T12:21:00,2025-11-27T13:02:00,115.78,96.56
NJ-EBQ5462,+1-201-545-5776,njebq5462@outlook.com,Bronx Terminal Market,Queens Blvd,2025-11-27T07:49:00,2025-11-27T08:18:00,123.65,112.65
NJ-DZM2178,+1-856-959-3715,njdzm2178@gmail.com,Wall Street,Lincoln Tunnel,2025-11-27T19:00:00,2025-11-27T19:27:00,135.88,128.75
CA-DBJ6359,+1-650-997-2530,cadbj6359@gmail.com,Bronx Terminal Market,Wall Street,2025-11-27T10:07:00,2025-11-27T10:55:00,70.26,80.47
IL-GAR2917,+1-630-230-7508,ilgar2917@yahoo.com,Lincoln Tunnel,Brooklyn Bridge,2025-11-27T20:18:00,2025-11-27T21:02:00,126.82,104.61
IL-PWF6919,+1-847-228-7289,ilpwf6919@yahoo.com,Wall Street,I-95 Exit 15,2025-11-27T08:54:00,2025-11-27T09:53:00,80.13,80.47
NJ-OSU1830,+1-551-851-1150,njosu1830@outlook.com,Times Square,George Washington Bridge,2025-11-27T16:17:00,2025-11-27T17:13:00,149.66,120.7
CA-ZSD9614,+1-562-872-0585,cazsd9614@outlook.com,Queens Blvd,Wall Street,2025-11-27T09:04:00,2025-11-27T09:43:00,114.27,96.56
FL-ULG5134,+1-786-878-0633,flulg5134@outlook.com,Wall Street,I-87 Exit 7A,2025-11-27T19:12:00,2025-11-27T19:36:00,116.83,120.7
NJ-ZZP9631,+1-856-397-5362,njzzp9631@gmail.com,Queens Blvd,Staten Island Ferry,2025-11-27T22:01:00,2025-11-27T22:43:00,76.22,80.47
NY-KRJ5885,+1-845-680-7727,nykrj5885@yahoo.com,Wall Street,George Washington Bridge,2025-11-27T09:40:00,2025-11-27T10:40:00,102.06,112.65
FL-UFT3677,+1-786-731-8733,fluft3677@gmail.com,George Washington Bridge,Wall Street,2025-11-27T22:00:00,2025-11-27T22:13:00,59.6,80.47
FL-FTA5377,+1-727-917-9747,flfta5377@outlook.com,Bronx Terminal Market,I-87 Exit 7A,2025-11-27T21:10:00,2025-11-27T21:52:00,100.57,80.47
NY-SPK8022,+1-929-418-4749,nyspk8022@gmail.com,Lincoln Tunnel,Times Square,2025-11-27T17:05:00,2025-11-27T17:26:00,111.12,80.47
NY-CBV4964,+1-585-991-9084,nycbv4964@outlook.com,Manhattan Downtown,Bronx Terminal Market,2025-11-27T12:23:00,2025-11-27T12:57:00,93.79,112.65
CA-UIN3867,+1-707-680-2045,cauin3867@yahoo.com,George Washington Bridge,Queens Blvd,2025-11-27T17:37:00,2025-11-27T18:02:00,124.49,96.56
IL-BMU8914,+1-815-848-0741,ilbmu8914@yahoo.com,Times Square,Queens Blvd,2025-11-27T08:53:00,2025-11-27T09:20:00,112.03,120.7
NJ-QWY1900,+1-609-230-7894,njqwy1900@icloud.com,Queens Blvd,Wall Street,2025-11-27T12:16:00,2025-11-27T12:31:00,130.73,120.7
IL-JJQ3640,+1-464-807-7256,iljjq3640@yahoo.com,Staten Island Ferry,Queens Blvd,2025-11-27T06:36:00,2025-11-27T07:16:00,151.75,120.7
FL-JIC6543,+1-386-445-1181,fljic6543@outlook.com,Staten Island Ferry,Manhattan Downtown,2025-11-27T13:38:00,2025-11-27T14:08:00,102.79,80.47
NJ-CBJ3307,+1-848-520-9387,njcbj3307@gmail.com,Times Square,Lincoln Tunnel,2025-11-27T17:08:00,2025-11-27T17:21:00,67.86,80.47
NY-WFU2665,+1-332-915-3686,nywfu2665@gmail.com,Staten Island Ferry,Times Square,2025-11-27T09:32:00,2025-11-27T10:29:00,115.9,128.75
FL-FWH1636,+1-727-510-3818,flfwh1636@outlook.com,Staten Island Ferry,Wall Street,2025-11-27T08:57:00,2025-11-27T09:31:00,108.44,104.61
NJ-WAS7227,+1-862-622-6604,njwas7227@yahoo.com,I-87 Exit 7A,Queens Blvd,2025-11-27T12:19:00,2025-11-27T12:44:00,139.08,128.75
IL-WJW7363,+1-779-219-4318,ilwjw7363@icloud.com,Manhattan Downtown,Brooklyn Bridge,2025-11-27T08:42:00,2025-11-27T09:30:00,116.06,96.56
CA-OCV5359,+1-858-204-2103,caocv5359@gmail.com,Times Square,Wall Street,2025-11-27T19:13:00,2025-11-27T19:47:00,121.91,104.61
CA-NHA8033,+1-626-561-9370,canha8033@gmail.com,Lincoln Tunnel,Times Square,2025-11-27T10:21:00,2025-11-27T11:06:00,120.51,128.75
CA-FJB1107,+1-424-793-1483,cafjb1107@icloud.com,Staten Island Ferry,Bronx Terminal Market,2025-11-27T20:38:00,2025-11-27T21:06:00,110.18,112.65
CA-VBB5385,+1-714-390-9135,cavbb5385@yahoo.com,George Washington Bridge,Staten Island Ferry,2025-11-27T19:11:00,2025-11-27T19:55:00,160.53,128.75
NJ-MOU5382,+1-973-295-4904,njmou5382@gmail.com,Wall Street,Lincoln Tunnel,2025-11-27T19:54:00,2025-11-27T20:44:00,109.4,96.56
CA-LHA9556,+1-626-606-4932,calha9556@yahoo.com,Queens Blvd,Wall Street,2025-11-27T11:08:00,2025-11-27T11:52:00,122.26,104.61
TX-GOR4423,+1-832-787-0424,txgor4423@outlook.com,Lincoln Tunnel,Brooklyn Bridge,2025-11-27T11:02:00,2025-11-27T12:00:00,107.69,80.47
IL-YWD8975,+1-312-322-0316,ilywd8975@icloud.com,I-87 Exit 7A,Times Square,2025-11-27T11:23:00,2025-11-27T12:04:00,127.9,120.7
NY-LFF8572,+1-845-988-0524,nylff8572@icloud.com,Times Square,Bronx Terminal Market,2025-11-27T22:51:00,2025-11-27T23:43:00,106.99,80.47
FL-HMY9631,+1-954-849-1822,flhmy9631@outlook.com,Wall Street,Staten Island Ferry,2025-11-27T10:42:00,2025-11-27T11:31:00,98.16,112.65
NY-IIB8835,+1-585-656-4295,nyiib8835@outlook.com,Brooklyn Bridge,Wall Street,2025-11-27T09:53:00,2025-11-27T10:49:00,123.97,120.7
IL-JXH3946,+1-618-209-1569,iljxh3946@icloud.com,George Washington Bridge,Brooklyn Bridge,2025-11-27T07:25:00,2025-11-27T07:50:00,100.1,80.47
IL-VPC4887,+1-464-568-8851,ilvpc4887@icloud.com,Queens Blvd,George Washington Bridge,2025-11-27T11:13:00,2025-11-27T11:38:00,108.21,80.47
IL-KMT5386,+1-309-599-4013,ilkmt5386@icloud.com,Manhattan Downtown,Bronx Terminal Market,2025-11-27T11:41:00,2025-11-27T12:37:00,74.34,80.47
NY-VNL9700,+1-838-424-9318,nyvnl9700@icloud.com,Queens Blvd,Wall Street,2025-11-27T10:05:00,2025-11-27T10:56:00,128.45,128.75
FL-RLZ3003,+1-727-699-8712,flrlz3003@gmail.com,Bronx Terminal Market,Queens Blvd,2025-11-27T20:52:00,2025-11-27T21:42:00,129.71,112.65
TX-PMW7500,+1-254-747-9901,txpmw7500@icloud.com,Times Square,George Washington Bridge,2025-11-27T12:04:00,2025-11-27T12:16:00,90.55,104.61
NY-HFP7576,+1-315-202-6559,nyhfp7576@outlook.com,I-95 Exit 15,Staten Island Ferry,2025-11-27T15:23:00,2025-11-27T15:45:00,96.51,96.56
FL-JTX6061,+1-727-300-6870,fljtx6061@icloud.com,I-95 Exit 15,George Washington Bridge,2025-11-27T22:24:00,2025-11-27T22:35:00,158.66,128.75
NJ-ZKI6715,+1-908-781-2029,njzki6715@outlook.com,Wall Street,I-95 Exit 15,2025-11-27T06:33:00,2025-11-27T07:10:00,112.84,96.56
CA-PZB7395,+1-747-449-0554,capzb7395@gmail.com,I-87 Exit 7A,Times Square,2025-11-27T14:21:00,2025-11-27T15:13:00,90.96,96.56
IL-UAN1056,+1-447-890-1276,iluan1056@icloud.com,I-95 Exit 15,Manhattan Downtown,2025-11-27T06:17:00,2025-11-27T06:45:00,100.15,120.7
FL-XLL2953,+1-904-432-1421,flxll2953@gmail.com,I-87 Exit 7A,Wall Street,2025-11-27T11:04:00,2025-11-27T11:58:00,121.02,128.75
IL-GSN4605,+1-773-570-0026,ilgsn4605@yahoo.com,Queens Blvd,I-87 Exit 7A,2025-11-27T22:11:00,2025-11-27T22:27:00,117.08,96.56
TX-GZV3242,+1-512-395-1050,txgzv3242@icloud.com,Lincoln Tunnel,Manhattan Downtown,2025-11-27T19:40:00,2025-11-27T20:22:00,106.29,96.56
FL-SMQ9575,+1-954-526-3489,flsmq9575@icloud.com,George Washington Bridge,Wall Street,2025-11-27T13:23:00,2025-11-27T13:58:00,126.95,120.7
IL-QEN2764,+1-217-758-5796,ilqen2764@icloud.com,Manhattan Downtown,I-87 Exit 7A,2025-11-27T10:52:00,2025-11-27T11:44:00,133.58,120.7
CA-HRD5294,+1-858-964-2530,cahrd5294@gmail.com,Staten Island Ferry,Manhattan Downtown,2025-11-27T17:38:00,2025-11-27T18:37:00,93.33,112.65
TX-RVR9994,+1-469-934-4272,txrvr9994@outlook.com,Wall Street,Lincoln Tunnel,2025-11-27T14:01:00,2025-11-27T14:35:00,57.68,80.47
FL-SEL5865,+1-352-319-0939,flsel5865@yahoo.com,I-87 Exit 7A,Wall Street,2025-11-27T20:29:00,2025-11-27T21:14:00,118.71,104.61
FL-WGU9748,+1-561-924-7220,flwgu9748@icloud.com,Times Square,Staten Island Ferry,2025-11-27T15:14:00,2025-11-27T16:12:00,130.74,104.61
NY-VLL9937,+1-518-480-4477,nyvll9937@yahoo.com,Staten Island Ferry,I-95 Exit 15,2025-11-27T18:57:00,2025-11-27T19:38:00,93.59,96.56
IL-MHQ2115,+1-447-720-1017,ilmhq2115@icloud.com,Lincoln Tunnel,Manhattan Downtown,2025-11-27T18:35:00,2025-11-27T19:33:00,82.15,104.61
IL-POL1318,+1-872-532-8099,ilpol1318@icloud.com,Queens Blvd,Manhattan Downtown,2025-11-27T13:07:00,2025-11-27T13:26:00,83.41,96.56
TX-CGT5641,+1-210-317-7567,txcgt5641@yahoo.com,Manhattan Downtown,I-87 Exit 7A,2025-11-27T20:07:00,2025-11-27T20:54:00,79.23,96.56
IL-MYP8429,+1-779-268-3455,ilmyp8429@gmail.com,I-95 Exit 15,Lincoln Tunnel,2025-11-27T12:07:00,2025-11-27T12:24:00,99.8,104.61
IL-YIV5078,+1-312-237-1348,ilyiv5078@outlook.com,Lincoln Tunnel,Staten Island Ferry,2025-11-27T13:20:00,2025-11-27T14:09:00,94.63,96.56
TX-TSJ9657,+1-469-904-6408,txtsj9657@outlook.com,Bronx Terminal Market,Times Square,2025-11-27T15:43:00,2025-11-27T16:23:00,103.56,120.7
FL-PLM1300,+1-754-829-0167,flplm1300@yahoo.com,Queens Blvd,I-87 Exit 7A,2025-11-27T20:40:00,2025-11-27T21:09:00,106.71,96.56
NJ-LRQ9148,+1-856-340-8353,njlrq9148@outlook.com,Brooklyn Bridge,Manhattan Downtown,2025-11-27T21:59:00,2025-11-27T22:32:00,74.97,80.47
IL-MCH4495,+1-224-971-0780,ilmch4495@outlook.com,Staten Island Ferry,Wall Street,2025-11-27T13:25:00,2025-11-27T14:21:00,60.76,80.47
CA-HNX6773,+1-415-439-8244,cahnx6773@outlook.com,I-95 Exit 15,Manhattan Downtown,2025-11-27T13:37:00,2025-11-27T14:33:00,98.92,80.47
IL-MRB6219,+1-815-411-8950,ilmrb6219@gmail.com,I-87 Exit 7A,Queens Blvd,2025-11-27T22:48:00,2025-11-27T23:26:00,100.47,80.47
NJ-WEG4403,+1-640-742-5054,njweg4403@outlook.com,Bronx Terminal Market,I-95 Exit 15,2025-11-27T14:41:00,2025-11-27T15:25:00,134.04,120.7
FL-QOE1589,+1-386-947-5606,flqoe1589@gmail.com,George Washington Bridge,Manhattan Downtown,2025-11-27T14:11:00,2025-11-27T14:42:00,94.21,112.65
NY-DRA7459,+1-607-799-0787,nydra7459@icloud.com,I-87 Exit 7A,Brooklyn Bridge,2025-11-27T08:38:00,2025-11-27T09:13:00,87.18,96.56
NY-KJG8055,+1-929-557-6999,nykjg8055@gmail.com,Bronx Terminal Market,Lincoln Tunnel,2025-11-27T17:51:00,2025-11-27T18:03:00,107.17,112.65
IL-POE5070,+1-618-318-1460,ilpoe5070@gmail.com,Brooklyn Bridge,Lincoln Tunnel,2025-11-27T06:35:00,2025-11-27T06:59:00,134.83,104.61
FL-AQC5122,+1-863-559-7442,flaqc5122@outlook.com,I-95 Exit 15,Queens Blvd,2025-11-27T09:33:00,2025-11-27T10:32:00,94.57,80.47
FL-RSQ6421,+1-727-542-1122,flrsq6421@outlook.com,Queens Blvd,Wall Street,2025-11-27T20:25:00,2025-11-27T21:06:00,128.11,120.7
CA-EJW5799,+1-510-884-1498,caejw5799@outlook.com,Wall Street,George Washington Bridge,2025-11-27T21:53:00,2025-11-27T22:09:00,77.95,80.47
FL-NKE6994,+1-786-323-8663,flnke6994@yahoo.com,Wall Street,Staten Island Ferry,2025-11-27T12:07:00,2025-11-27T12:22:00,125.1,112.65
NY-HZM5417,+1-845-807-7309,nyhzm5417@gmail.com,I-95 Exit 15,Staten Island Ferry,2025-11-27T09:52:00,2025-11-27T10:13:00,92.77,104.61
TX-PEN7963,+1-210-383-5343,txpen7963@gmail.com,George Washington Bridge,Manhattan Downtown,2025-11-27T12:57:00,2025-11-27T13:20:00,118.93,128.75
TX-AGE5268,+1-325-711-5070,txage5268@outlook.com,Wall Street,Staten Island Ferry,2025-11-27T11:53:00,2025-11-27T12:25:00,81.55,80.47
CA-ESZ5116,+1-619-930-8125,caesz5116@icloud.com,Lincoln Tunnel,Bronx Terminal Market,2025-11-27T14:31:00,2025-11-27T15:21:00,110.94,80.47
IL-DRD5204,+1-872-853-0888,ildrd5204@outlook.com,Lincoln Tunnel,Manhattan Downtown,2025-11-27T14:45:00,2025-11-27T15:11:00,143.7,120.7
NJ-BWA7434,+1-848-449-3424,njbwa7434@icloud.com,Lincoln Tunnel,Times Square,2025-11-27T19:21:00,2025-11-27T20:06:00,100.37,112.65
NJ-AFQ8398,+1-908-268-3000,njafq8398@yahoo.com,Staten Island Ferry,Bronx Terminal Market,2025-11-27T06:28:00,2025-11-27T07:24:00,123.89,128.75
IL-LQD8827,+1-312-447-8993,illqd8827@icloud.com,Lincoln Tunnel,Staten Island Ferry,2025-11-27T06:29:00,2025-11-27T06:58:00,106.38,120.7
FL-WQD2416,+1-813-281-0132,flwqd2416@yahoo.com,Bronx Terminal Market,George Washington Bridge,2025-11-27T07:27:00,2025-11-27T08:03:00,106.19,96.56
FL-NUH7729,+1-954-402-2238,flnuh7729@yahoo.com,George Washington Bridge,I-95 Exit 15,2025-11-27T22:48:00,2025-11-27T23:42:00,109.73,80.47
CA-FJK4883,+1-310-407-6115,cafjk4883@yahoo.com,Wall Street,George Washington Bridge,2025-11-27T16:11:00,2025-11-27T17:03:00,90.82,96.56
FL-XMR7205,+1-954-614-4553,flxmr7205@gmail.com,Queens Blvd,Wall Street,2025-11-27T16:53:00,2025-11-27T17:12:00,86.37,96.56
NJ-RRK6443,+1-201-554-3576,njrrk6443@yahoo.com,Wall Street,Queens Blvd,2025-11-27T16:55:00,2025-11-27T17:44:00,99.23,104.61
NY-RYI7918,+1-607-411-5955,nyryi7918@icloud.com,Times Square,George Washington Bridge,2025-11-27T06:37:00,2025-11-27T07:12:00,107.09,104.61
TX-SRD8478,+1-713-426-5999,txsrd8478@yahoo.com,I-95 Exit 15,Manhattan Downtown,2025-11-27T14:01:00,2025-11-27T14:20:00,107.58,80.47
IL-VRZ7604,+1-464-791-4684,ilvrz7604@outlook.com,Bronx Terminal Market,Queens Blvd,2025-11-27T09:37:00,2025-11-27T10:07:00,132.32,112.65
CA-CNP5080,+1-661-658-8121,cacnp5080@gmail.com,Bronx Terminal Market,Lincoln Tunnel,2025-11-27T09:29:00,2025-11-27T10:08:00,93.89,96.56
NY-WWV5250,+1-646-642-4198,nywwv5250@icloud.com,I-87 Exit 7A,Lincoln Tunnel,2025-11-27T19:17:00,2025-11-27T20:05:00,110.46,96.56
NJ-BNT5150,+1-908-345-9470,njbnt5150@icloud.com,Staten Island Ferry,Wall Street,2025-11-27T14:54:00,2025-11-27T15:32:00,86.71,80.47
TX-LME1723,+1-254-830-6770,txlme1723@gmail.com,Brooklyn Bridge,Queens Blvd,2025-11-27T16:59:00,2025-11-27T17:56:00,106.46,104.61
NJ-FEO6944,+1-640-221-0945,njfeo6944@icloud.com,Lincoln Tunnel,Manhattan Downtown,2025-11-27T18:56:00,2025-11-27T19:22:00,114.86,112.65
NY-QZY1773,+1-315-958-2630,nyqzy1773@yahoo.com,Lincoln Tunnel,Times Square,2025-11-27T06:51:00,2025-11-27T07:39:00,107.23,80.47
CA-GMB4465,+1-858-508-5284,cagmb4465@yahoo.com,Lincoln Tunnel,George Washington Bridge,2025-11-27T13:54:00,2025-11-27T14:28:00,101.56,80.47
IL-FJK9831,+1-815-871-6542,ilfjk9831@gmail.com,Brooklyn Bridge,I-87 Exit 7A,2025-11-27T10:13:00,2025-11-27T11:12:00,91.52,112.65
NY-SVG3874,+1-585-750-1901,nysvg3874@gmail.com,I-95 Exit 15,Bronx Terminal Market,2025-11-27T21:13:00,2025-11-27T22:07:00,83.55,104.61
FL-UIT8034,+1-305-796-8353,fluit8034@yahoo.com,Lincoln Tunnel,I-87 Exit 7A,2025-11-27T09:29:00,2025-11-27T10:26:00,96.48,80.47
IL-VTE6392,+1-773-742-2203,ilvte6392@gmail.com,I-87 Exit 7A,Brooklyn Bridge,2025-11-27T09:30:00,2025-11-27T10:22:00,86.81,96.56
